id,temperature,created_at,sound,light,dust,fan,motion
"'6659', ","'26.1', ","'2026-05-07  22:44:30', ","'17.81', ","'255', ","'0.0256', ","'1', ",'1'
"'6660', ","'26.53',"," '2026-05-07  22:44:45',"," '14.81',"," '255',"," '0.0291',"," '1',", '0'
"'6661', ","'26.56',"," '2026-05-07  22:45:00',"," '11.6', ","'255', ","'0.0125', ","'1', ",'0'
"'6662', ","'26.65',"," '2026-05-07  22:45:15',"," '13.94',"," '255',"," '0.0295',"," '1',", '1'
"'6663', ","'26.39',"," '2026-05-07  22:45:30',"," '11.48',"," '255',"," '0.0148',"," '1',", '0'
"'6664', ","'26.5', ","'2026-05-07  22:45:45', ","'18.95', ","'255', ","'0.0093', ","'1', ",'0'
"'6665', ","'26.64',"," '2026-05-07  22:46:00',"," '20.06',"," '255',"," '0.0252',"," '1',", '0'
"'6666', ","'26.49',"," '2026-05-07  22:46:15',"," '14.41',"," '255',"," '0.0261',"," '1',", '0'
"'6667', ","'26.06',"," '2026-05-07  22:46:30',"," '17.35',"," '255',"," '0.0295',"," '1',", '0'
"'6668', ","'26.28',"," '2026-05-07  22:46:45',"," '13', '2","55', '0",".0118', '1","', '0",'
"'6669', ","'26.62',"," '2026-05-07  22:47:00',"," '12.46',"," '255',"," '0.0099',"," '1',", '0'
"'6670', ","'26.3', ","'2026-05-07  22:47:15', ","'13.21', ","'255', ","'0.0327', ","'1', ",'0'
"'6671', ","'26.38',"," '2026-05-07  22:47:30',"," '17.75',"," '255',"," '0.0199',"," '1',", '0'
"'6672', ","'26.19',"," '2026-05-07  22:47:45',"," '16.82',"," '255',"," '0.0171',"," '1',", '1'
"'6673', ","'26.23',"," '2026-05-07  22:48:00',"," '12.11',"," '255',"," '0.0165',"," '1',", '0'
"'6674', ","'26.17',"," '2026-05-07  22:48:15',"," '13.75',"," '255',"," '0.0112',"," '1',", '0'
"'6675', ","'26.36',"," '2026-05-07  22:48:30',"," '14.23',"," '255',"," '0.0122',"," '1',", '0'
